;; INTERIOR DESIGN, HOME IMPROVEMENT
Studio McGee,https://www.youtube.com/channel/UCXvzpK4eKUJysEZ42zjTUdw
House and Home,https://www.youtube.com/channel/UCq6H4g9eVY9WxoboCFd0iRA
Three Birds Renovation,https://www.youtube.com/channel/UCdMHDOiMLVGlntDX-4I_-rg
Emily Henderson,https://www.youtube.com/channel/UC7Emkys9TIv4Re-AazKyJ5Q
Apartment Therapy,https://www.youtube.com/channel/UCY04Nk2nZkUkT4hqf_7suZA
Mr Kate,https://www.youtube.com/channel/UCDVPcEbVLQgLZX0Rt6jo34A
Karin Bohn,https://www.youtube.com/channel/UCHNK-JM63_vb2CJc1wC4p8g
HGTV,https://www.youtube.com/user/HGTV
HouzzTV,https://www.youtube.com/channel/UC6kpDTAXXNV5SEP5g1HoPTA


;; EDUCATION, SCIENCE, ENGINEERING
Smarter Every Day,https://www.youtube.com/user/destinws2
Crash Course,https://www.youtube.com/user/crashcourse
Eons,https://www.youtube.com/channel/UCzR-rom72PHN9Zg7RML9EbA
SciShow,https://www.youtube.com/user/scishow
SciShow Space,https://www.youtube.com/user/scishowspace
CGP Grey,https://www.youtube.com/CGPGrey
Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
Kurzgesagt,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
MinutePhysics,https://www.youtube.com/user/minutephysics
MinuteEart,https://www.youtube.com/channel/UCeiYXex_fwgYDonaTcSIk6w
Objectivity,https://www.youtube.com/channel/UCtwKon9qMt5YLVgQt1tvJKg
Numberphile,https://www.youtube.com/user/numberphile
Periodic Videos,https://www.youtube.com/user/periodicvideos
KaptainKristian,https://www.youtube.com/channel/UCuPgdqQKpq4T4zeqmTelnFg
Nerdwriter,https://www.youtube.com/user/Nerdwriter1
The Brain Scoop,https://www.youtube.com/thebrainscoop
Geography Now,https://www.youtube.com/channel/UCmmPgObSUPw1HL2lq6H4ffA
Applied Science,https://www.youtube.com/channel/UCivA7_KLKWo43tFcCkFvydw
PBS Infinite Series,https://www.youtube.com/channel/UCs4aHmggTfFrpkPcWSaBN9g
PBS Spacetime,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g
Deep Look,https://www.youtube.com/channel/UC-3SbfTPJsL8fJAPKiVqBLg
Above The Noise,https://www.youtube.com/channel/UC4K10PNjqgGLKA3lo5V8KdQ
BrainCraft,https://www.youtube.com/channel/UCt_t6FwNsqr3WWoL6dFqG9w
Sexplainations,https://www.youtube.com/channel/UCkxMlA7rt-mnIc1AjbyAsPw
How To Adult,https://www.youtube.com/channel/UCFqaprvZ2K5JOULCvr18NTQ
Thought Cafe,https://www.youtube.com/channel/UCwTZ-JLF5FQ3EmQ2nPaS-lg
Mustard,https://www.youtube.com/channel/UC1ZBQ-F-yktYD4m5AzM6pww
Wendover Productions,https://www.youtube.com/user/Wendoverproductions
Feature History,https://www.youtube.com/channel/UCHdluULl5c7bilx1x1TGzJQ
Military History Visualised,https://www.youtube.com/channel/UCK09g6gYGMvU-0x1VCF1hgA
The Great War,https://www.youtube.com/user/TheGreatWar
Alternative History Hub,https://www.youtube.com/user/AlternateHistoryHub
Ten Minute History,https://www.youtube.com/channel/UC22BdTgxefuvUivrjesETjg
Ahoy,https://www.youtube.com/user/XboxAhoy
Simple History,https://www.youtube.com/channel/UC510QYlOlKNyhy_zdQxnGYw
Epic History TV,https://www.youtube.com/channel/UCvPXiKxH-eH9xq-80vpgmKQ
Real Engineering,https://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg
Engineering Explained,https://www.youtube.com/user/EngineeringExplained
Practical Engineering,https://www.youtube.com/user/gradyhillhouse
Company Man,https://www.youtube.com/channel/UCQMyhrt92_8XM0KgZH6VnRg


;; COMICS


;; VIDEO GAMES


;; COMEDY


;; DIY


;; TECH


;; ENTERTAINMENT


;; COOKING
Bon Appetit,https://www.youtube.com/user/BonAppetitDotCom
Epicurious,https://www.youtube.com/user/epicurious
ChefSteps,https://www.youtube.com/user/chefsteps
Tasetmade,https://www.youtube.com/user/tastemade
You Suck at Cooking,https://www.youtube.com/channel/UCekQr9znsk2vWxBo3YiLq2w
Feeling Peckish,https://www.youtube.com/user/julienolke
Sorted Food,https://www.youtube.com/user/sortedfood
Cooking With Dog,https://www.youtube.com/user/cookingwithdog
Just Eat Life,https://www.youtube.com/user/JustEatLifeTV
Brother Green Eats,https://www.youtube.com/user/BrothersGreenEats
Binging With Babish,https://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw
The Simple Cooking Channel,https://www.youtube.com/channel/UCsWpnu6EwIYDvlHoOESpwYg
Epic Meal Time,https://www.youtube.com/channel/UCYjk_zY-iYR8YNfJmuzd70A

;; TRAVEL
